Row,Tipo,Parola,Significato,Parti del discorso,Disambiguation,Root,Group,Special Note,Participio Passato Irregolare,Aus.,Prep. Before Next Infinitive,Dizionario
3635,Alta Disponibilità,mais,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/mais
3636,Alta Disponibilità,maiuscola,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/maiuscola
3637,Fondamentale,malato,1,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/malato
3638,Fondamentale,malattia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/malattia
3639,Alta Disponibilità,malaugurio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/malaugurio
3640,Alta Disponibilità,malavita,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/malavita
3641,Fondamentale,male,1,"avv., inter.",,,,,,,,http://dizionario.internazionale.it/parola/male
3642,Fondamentale,male,2,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/male_2
3643,Alto Uso,maledetto,,"p.pass., agg., s.m.",,maledire,,,,,,http://dizionario.internazionale.it/parola/maledetto
3644,Alto Uso,maledizione,,"s.f., inter.",,,,,,,,http://dizionario.internazionale.it/parola/maledizione
3645,Alta Disponibilità,maleducato,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/maleducato
3646,Alta Disponibilità,maleducazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/maleducazione
3647,Alto Uso,malgrado,,"s.m., avv., cong., prep.",,,,,,,,http://dizionario.internazionale.it/parola/malgrado
3648,Alto Uso,malinconia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/malinconia
3649,Alta Disponibilità,malinteso,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/malinteso
3650,Alta Disponibilità,malizia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/malizia
3651,Alta Disponibilità,maltempo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/maltempo
3652,Alta Disponibilità,maltese,,"agg., s.m. e f.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/maltese
3653,Alta Disponibilità,maltrattamento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/maltrattamento
3654,Alta Disponibilità,maltrattare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/maltrattare
3655,Alta Disponibilità,malva,,"s.m. e f., s.m.inv.",,,,,,,,http://dizionario.internazionale.it/parola/malva
3656,Alto Uso,malvagio,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/malvagio
3657,Fondamentale,mamma,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mamma
3658,Alta Disponibilità,mammella,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mammella
3659,Alta Disponibilità,mammifero,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mammifero
3660,Alto Uso,manager,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/manager
3661,Fondamentale,mancanza,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mancanza
3662,Fondamentale,mancare,,"v.intr., v.tr.",,,,,,,,http://dizionario.internazionale.it/parola/mancare
3663,Alto Uso,mancato,,"p.pass., agg.",,mancare,,,,,,http://dizionario.internazionale.it/parola/mancato
3664,Alta Disponibilità,mancino,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/mancino
3665,Alto Uso,manco,1,"agg., avv.",,,,,,,,http://dizionario.internazionale.it/parola/manco
3666,Fondamentale,mandare,,v.tr.,,,,,,,a,http://dizionario.internazionale.it/parola/mandare
3667,Alta Disponibilità,mandarino,1,"s.m., s.m.inv., agg.inv.",,,,,,,,http://dizionario.internazionale.it/parola/mandarino
3668,Alto Uso,mandato,,"p.pass., agg., s.m.",,mandare,,,,,,http://dizionario.internazionale.it/parola/mandato
3669,Alta Disponibilità,mandorla,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mandorla
3670,Alta Disponibilità,mandorlo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mandorlo
3671,Alta Disponibilità,manganello,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/manganello
3672,Fondamentale,mangiare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/mangiare
3673,Alta Disponibilità,mangime,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mangime
3674,Alto Uso,mania,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mania
3675,Alta Disponibilità,maniaco,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/maniaco
3676,Alto Uso,manica,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/manica
3677,Alto Uso,manico,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/manico
3678,Fondamentale,maniera,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/maniera
3679,Fondamentale,manifestare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/manifestare
3680,Fondamentale,manifestazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/manifestazione
3681,Alto Uso,manifesto,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/manifesto
3682,Fondamentale,mano,,s.f.,,,,Irregular Plural,,,,http://dizionario.internazionale.it/parola/mano
3683,Alta Disponibilità,manodopera,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/manodopera
3684,Alto Uso,manoscritto,1,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/manoscritto
3685,Alta Disponibilità,manovale,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/manovale
3686,Alto Uso,manovra,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/manovra
3687,Alto Uso,mantello,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mantello
3688,Fondamentale,mantenere,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/mantenere
3689,Alto Uso,manuale,1,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/manuale
3690,Alto Uso,manuale,2,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/manuale_2
3691,Alto Uso,manutenzione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/manutenzione
3692,Alta Disponibilità,manzo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/manzo
3693,Alto Uso,mappa,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mappa
3694,Alto Uso,marca,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/marca
3695,Alto Uso,marcare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/marcare
3696,Alta Disponibilità,marchigiano,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/marchigiano
3697,Alto Uso,marchio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/marchio
3698,Alto Uso,marcia,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/marcia
3699,Alto Uso,marciapiede,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/marciapiede
3700,Alto Uso,marcio,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/marcio
3701,Alta Disponibilità,marcire,,v.intr. e tr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/marcire
3702,Fondamentale,marco,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/marco
3703,Fondamentale,mare,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mare
3704,Alto Uso,marea,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/marea
3705,Alto Uso,maresciallo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/maresciallo
3706,Alta Disponibilità,margherita,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/margherita
3707,Alto Uso,marginale,,"agg., s.m. e f.",,,,,,,,http://dizionario.internazionale.it/parola/marginale
3708,Alto Uso,margine,,"s.m., s.f.",,,,,,,,http://dizionario.internazionale.it/parola/margine
3709,Alto Uso,marinaio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/marinaio
3710,Alto Uso,marino,1,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/marino
3711,Alta Disponibilità,marionetta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/marionetta
3712,Fondamentale,marito,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/marito
3713,Alto Uso,marketing,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/marketing
3714,Alta Disponibilità,marmellata,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/marmellata
3715,Alto Uso,marmo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/marmo
3716,Alta Disponibilità,marocchino,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/marocchino
3717,Alto Uso,marrone,1,"s.m., agg.",,,Colors,,,,,http://dizionario.internazionale.it/parola/marrone
3718,Alto Uso,martedì,,s.m.inv.,,,Days of the Week,,,,,http://dizionario.internazionale.it/parola/martedi
3719,Fondamentale,marzo,,s.m.,,,Months of the Year,,,,,http://dizionario.internazionale.it/parola/marzo
3720,Alta Disponibilità,mascarpone,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mascarpone
3721,Alto Uso,maschera,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/maschera
3722,Alto Uso,mascherare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/mascherare
3723,Alta Disponibilità,mascherato,,"p.pass., agg.",,mascherare,,,,,,http://dizionario.internazionale.it/parola/mascherato
3724,Fondamentale,maschile,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/maschile
3725,Fondamentale,maschio,,"s.m., agg.",,,,,,,,http://dizionario.internazionale.it/parola/maschio
3726,Fondamentale,massa,,"s.f., avv.",,,,,,,,http://dizionario.internazionale.it/parola/massa
3727,Alto Uso,massacrare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/massacrare
3728,Alta Disponibilità,massacro,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/massacro
3729,Alta Disponibilità,massaggio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/massaggio
3730,Alta Disponibilità,massaia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/massaia
3731,Alto Uso,massiccio,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/massiccio
3732,Fondamentale,massimo,,"agg., s.m., avv.",,,,,,,,http://dizionario.internazionale.it/parola/massimo
3733,Alto Uso,master,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/master
3734,Alto Uso,masticare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/masticare
3735,Alto Uso,masturbare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/masturbare
3736,Alto Uso,matematica,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/matematica
3737,Alto Uso,matematico,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/matematico
3738,Alto Uso,materasso,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/materasso
3739,Fondamentale,materia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/materia
3740,Fondamentale,materiale,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/materiale
3741,Alto Uso,maternità,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/maternita
3742,Alto Uso,materno,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/materno
3743,Alto Uso,matita,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/matita
3744,Alto Uso,matricola,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/matricola
3745,Alto Uso,matrimoniale,,"agg., s.f.",,,,,,,,http://dizionario.internazionale.it/parola/matrimoniale
3746,Fondamentale,matrimonio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/matrimonio
3747,Fondamentale,mattina,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mattina
3748,Alto Uso,mattinata,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mattinata
3749,Fondamentale,mattino,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mattino
3750,Fondamentale,matto,1,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/matto
3751,Alto Uso,mattone,,"s.m., agg.inv., s.m.inv.",,,,,,,,http://dizionario.internazionale.it/parola/mattone
3752,Alto Uso,maturare,,v.intr. e tr.,,,,,,,,http://dizionario.internazionale.it/parola/maturare
3753,Alto Uso,maturità,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/maturita
3754,Alto Uso,maturo,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/maturo
3755,Alto Uso,mazzo,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mazzo
3756,Fondamentale,me,,"pron.pers. di prima pers.sing., s.m.inv.",,,Pron. Pers.,,,,,http://dizionario.internazionale.it/parola/me
3757,Fondamentale,meccanico,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/meccanico
3758,Fondamentale,meccanismo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/meccanismo
3759,Alto Uso,medaglia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/medaglia
3760,Alto Uso,medesimo,,"agg.dimostr., pron.dimostr.m.",,,,,,,,http://dizionario.internazionale.it/parola/medesimo
3761,Fondamentale,media,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/media
3762,Alto Uso,media,2,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/media_2
3763,Alto Uso,mediante,2,prep.,,,,,,,,http://dizionario.internazionale.it/parola/mediante_2
3764,Alta Disponibilità,medicare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/medicare
3765,Fondamentale,medicina,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/medicina
3766,Fondamentale,medico,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/medico
3767,Alto Uso,medico,2,agg.,,,,,,,,http://dizionario.internazionale.it/parola/medico_2
3768,Alto Uso,medievale,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/medievale
3769,Fondamentale,medio,1,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/medio
3770,Alto Uso,medioevo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/medioevo
3771,Alto Uso,meditare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/meditare
3772,Alto Uso,mediterraneo,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/mediterraneo
3773,Fondamentale,meglio,,"avv., agg.inv., s.m.inv.",,,,,,,,http://dizionario.internazionale.it/parola/meglio
3774,Alto Uso,mela,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mela
3775,Alta Disponibilità,melagrana,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/melagrana
3776,Alta Disponibilità,melanzana,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/melanzana
3777,Alta Disponibilità,melo,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/melo
3778,Alta Disponibilità,melograno,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/melograno
3779,Alta Disponibilità,melone,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/melone
3780,Alto Uso,membrana,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/membrana
3781,Fondamentale,membro,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/membro
3782,Fondamentale,memoria,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/memoria
3783,Alto Uso,menare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/menare
3784,Alta Disponibilità,mendicante,,"p.pres., agg., s.m. e f.",,mendicare,,,,,,http://dizionario.internazionale.it/parola/mendicante
3785,Fondamentale,meno,,"avv., agg.compar.inv., prep., s.m.inv.",,,,,,,,http://dizionario.internazionale.it/parola/meno
3786,Alto Uso,mensa,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mensa
3787,Alto Uso,mensile,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/mensile
3788,Alta Disponibilità,mensola,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mensola
3789,Alta Disponibilità,menta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/menta
3790,Fondamentale,mentale,1,agg.,,,,,,,,http://dizionario.internazionale.it/parola/mentale
3791,Alto Uso,mentalità,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/mentalita
3792,Fondamentale,mente,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mente
3793,Fondamentale,mentire,,v.intr. e tr.,,,,,,,,http://dizionario.internazionale.it/parola/mentire
3794,Alto Uso,mento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mento
3795,Fondamentale,mentre,,cong.,,,,,,,,http://dizionario.internazionale.it/parola/mentre
3796,Alto Uso,menu,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/menu
3797,Alto Uso,menzogna,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/menzogna
3798,Alto Uso,meraviglia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/meraviglia
3799,Alto Uso,meravigliare,,v.tr. e intr.,,,,,,,di,http://dizionario.internazionale.it/parola/meravigliare
3800,Fondamentale,meraviglioso,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/meraviglioso
3801,Alto Uso,mercante,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mercante
3802,Fondamentale,mercato,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mercato
3803,Alto Uso,merce,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/merce
3804,Alta Disponibilità,merceria,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/merceria
3805,Alto Uso,mercoledì,,s.m.inv.,,,Days of the Week,,,,,http://dizionario.internazionale.it/parola/mercoledi
3806,Fondamentale,merda,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/merda
3807,Alta Disponibilità,merenda,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/merenda
3808,Alta Disponibilità,merendina,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/merendina
3809,Alta Disponibilità,meridiano,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/meridiano
3810,Fondamentale,meridionale,1,"agg., s.m. e f.",,,,,,,,http://dizionario.internazionale.it/parola/meridionale
3811,Alta Disponibilità,meridione,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/meridione
3812,Fondamentale,meritare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/meritare
3813,Fondamentale,merito,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/merito
3814,Alta Disponibilità,merlo,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/merlo
3815,Alta Disponibilità,merluzzo,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/merluzzo
3816,Alto Uso,mero,1,agg.,,,,,,,,http://dizionario.internazionale.it/parola/mero
3817,Alto Uso,mescolare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/mescolare
3818,Fondamentale,mese,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mese
3819,Alto Uso,messa,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/messa
3820,Alto Uso,messa,2,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/messa_2
3821,Fondamentale,messaggio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/messaggio
3822,Alta Disponibilità,messe,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/messe
3823,Alta Disponibilità,messicano,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/messicano
3824,Fondamentale,mestiere,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mestiere
3825,Alta Disponibilità,mestolo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mestolo
3826,Alta Disponibilità,mestruazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mestruazione
3827,Alto Uso,meta,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/meta
3828,Fondamentale,metà,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/meta_6
3829,Alto Uso,metafora,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/metafora
3830,Alto Uso,metallico,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/metallico
3831,Alto Uso,metallo,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/metallo
3832,Alta Disponibilità,metalmeccanico,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/metalmeccanico
3833,Alto Uso,meteo,,"agg.inv., s.m.inv.",,,,,,,,http://dizionario.internazionale.it/parola/meteo
3834,Fondamentale,metodo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/metodo
3835,Fondamentale,metro,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/metro
3836,Alto Uso,metropolitano,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/metropolitano
3837,Fondamentale,mettere,,v.tr. e intr.,,,,,Irr PP: messo,,a,http://dizionario.internazionale.it/parola/mettere
3838,Alto Uso,mezzanotte,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mezzanotte
3839,Fondamentale,mezzo,1,"agg., s.m., avv.",,,,,,,,http://dizionario.internazionale.it/parola/mezzo
3840,Alto Uso,mezzogiorno,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mezzogiorno
3841,Fondamentale,mi,3,pron.pers. di prima pers.sing.,,,Pron. Pers.,,,,,http://dizionario.internazionale.it/parola/mi_3
3842,Alta Disponibilità,miagolare,,v.intr.,,,,,,,,http://dizionario.internazionale.it/parola/miagolare
3843,Fondamentale,mica,1,"s.f., avv.",,,,,,,,http://dizionario.internazionale.it/parola/mica
3844,Alta Disponibilità,micio,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/micio
3845,Alto Uso,microfono,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/microfono
3846,Alto Uso,miele,,"s.m., s.m.inv., agg.inv.",,,,,,,,http://dizionario.internazionale.it/parola/miele
3847,Alta Disponibilità,mietere,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/mietere
3848,Fondamentale,migliaio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/migliaio
3849,Alto Uso,miglioramento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/miglioramento
3850,Fondamentale,migliorare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/migliorare
3851,Fondamentale,migliore,,"agg., s.m. e f., avv.",,,,,,,,http://dizionario.internazionale.it/parola/migliore
3852,Alta Disponibilità,mignolo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mignolo
3853,Fondamentale,mila,,agg.num.card.inv.,,,Numbers,,,,,http://dizionario.internazionale.it/parola/mila
3854,Alto Uso,milanese,,"agg., s.m. e f.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/milanese
3855,Fondamentale,miliardo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/miliardo
3856,Fondamentale,milione,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/milione
3857,Fondamentale,militare,1,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/militare
3858,Fondamentale,mille,,"agg.num.card.inv., s.m.inv.",,,Numbers,,,,,http://dizionario.internazionale.it/parola/mille
3859,Alto Uso,millennio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/millennio
3860,Alto Uso,millimetro,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/millimetro
3861,Alta Disponibilità,mimosa,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mimosa
3862,Alto Uso,minaccia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/minaccia
3863,Fondamentale,minacciare,,v.tr.,,,,,,,di,http://dizionario.internazionale.it/parola/minacciare
3864,Alto Uso,minchia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/minchia
3865,Alta Disponibilità,minestra,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/minestra
3866,Alta Disponibilità,minestrone,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/minestrone
3867,Alta Disponibilità,mini,1,agg.inv.,,,,,,,,http://dizionario.internazionale.it/parola/mini
3868,Alto Uso,miniera,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/miniera
3869,Alta Disponibilità,minigonna,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/minigonna
3870,Fondamentale,minimo,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/minimo
3871,Fondamentale,ministero,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/ministero
3872,Fondamentale,ministro,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/ministro
3873,Alto Uso,minoranza,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/minoranza
3874,Fondamentale,minore,,"agg., s.m. e f.",,,,,,,,http://dizionario.internazionale.it/parola/minore
3875,Alto Uso,minuscolo,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/minuscolo
3876,Fondamentale,minuto,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/minuto
3877,Fondamentale,mio,,"agg.poss. di prima pers.sing., pron. poss. di prima pers.sing.",,,Possessives,,,,,http://dizionario.internazionale.it/parola/mio
3878,Fondamentale,miracolo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/miracolo
3879,Alto Uso,mirare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/mirare
3880,Alto Uso,mischiare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/mischiare
3881,Alta Disponibilità,miscuglio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/miscuglio
3882,Alto Uso,miseria,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/miseria
3883,Alto Uso,misero,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/misero
3884,Alta Disponibilità,missile,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/missile
3885,Fondamentale,missione,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/missione
3886,Alta Disponibilità,mister,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/mister
3887,Alto Uso,misterioso,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/misterioso
3888,Fondamentale,mistero,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mistero
3889,Alto Uso,misto,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/misto
3890,Fondamentale,misura,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/misura
3891,Alto Uso,misurare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/misurare
3892,Alta Disponibilità,misurazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/misurazione
3893,Alto Uso,mitico,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/mitico
3894,Alto Uso,mito,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mito
3895,Alta Disponibilità,mitragliatrice,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/mitragliatrice
3896,Fondamentale,mobile,1,"agg., s.m., s.f.",,,,,,,,http://dizionario.internazionale.it/parola/mobile
3897,Alta Disponibilità,mobilio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mobilio
3898,Alta Disponibilità,mocassino,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/mocassino
3899,Fondamentale,moda,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/moda
3900,Alto Uso,modalità,1,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/modalita
3901,Alto Uso,modella,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/modella
