Italian,Korean,Gender,Example_IT,Example_KR
iniziare,시작하다,-,Mi piace iniziare quando ho tempo libero.,나는 자유 시간이 있을 때 시작하다는 것을 좋아합니다.
problema,문제,f,La problema è bellissima in questo periodo.,그 problema(은/는) 이 시기에 매우 아름답습니다.
riunione,회의,-,L'italiano è riunione.,이탈리아어는 회의입니다.
traffico,교통,m,Il traffico è molto importante per noi.,그 traffico(은/는) 우리에게 매우 중요합니다.
fortunate,운 좋은,-,L'italiano è fortunate.,이탈리아어는 운 좋은입니다.
fretta,서두름,f,La fretta è bellissima in questo periodo.,그 fretta(은/는) 이 시기에 매우 아름답습니다.
consegnare,제출하다,-,Mi piace consegnare quando ho tempo libero.,나는 자유 시간이 있을 때 제출하다는 것을 좋아합니다.
preoccupato,걱정하는,m,Il preoccupato è molto importante per noi.,그 preoccupato(은/는) 우리에게 매우 중요합니다.
farcela,해내다,f,La farcela è bellissima in questo periodo.,그 farcela(은/는) 이 시기에 매우 아름답습니다.
presentazione,발표,f,La presentazione è bellissima in questo periodo.,그 presentazione(은/는) 이 시기에 매우 아름답습니다.
caldo,더위,m,Il caldo è molto importante per noi.,그 caldo(은/는) 우리에게 매우 중요합니다.
bibita,음료,f,La bibita è bellissima in questo periodo.,그 bibita(은/는) 이 시기에 매우 아름답습니다.
coperta,담요,f,La coperta è bellissima in questo periodo.,그 coperta(은/는) 이 시기에 매우 아름답습니다.
fresco,신선한/시원한,m,Il fresco è molto importante per noi.,그 fresco(은/는) 우리에게 매우 중요합니다.
cestino,바구니,m,Il cestino è molto importante per noi.,그 cestino(은/는) 우리에게 매우 중요합니다.
notare,주시하다,-,Mi piace notare quando ho tempo libero.,나는 자유 시간이 있을 때 주시하다는 것을 좋아합니다.
stanchezza,피곤함,f,La stanchezza è bellissima in questo periodo.,그 stanchezza(은/는) 이 시기에 매우 아름답습니다.
godersi,즐기다,-,L'italiano è godersi.,이탈리아어는 즐기다입니다.
uccello,새,m,Il uccello è molto importante per noi.,그 uccello(은/는) 우리에게 매우 중요합니다.
trascorrere,(시간을) 보내다,-,Mi piace trascorrere quando ho tempo libero.,나는 자유 시간이 있을 때 (시간을) 보내다는 것을 좋아합니다.
aperta,야외,f,La aperta è bellissima in questo periodo.,그 aperta(은/는) 이 시기에 매우 아름답습니다.
volare,날다,-,Mi piace volare quando ho tempo libero.,나는 자유 시간이 있을 때 날다는 것을 좋아합니다.
stendere,펼치다,-,Mi piace stendere quando ho tempo libero.,나는 자유 시간이 있을 때 펼치다는 것을 좋아합니다.
cielo,하늘,m,Il cielo è molto importante per noi.,그 cielo(은/는) 우리에게 매우 중요합니다.
ombra,그늘,f,La ombra è bellissima in questo periodo.,그 ombra(은/는) 이 시기에 매우 아름답습니다.
mentre,반면에/동안에,-,L'italiano è mentre.,이탈리아어는 반면에/동안에입니다.
forte,강한,-,L'italiano è forte.,이탈리아어는 강한입니다.
camminare,걷다,-,Mi piace camminare quando ho tempo libero.,나는 자유 시간이 있을 때 걷다는 것을 좋아합니다.
sedersi,앉다,-,L'italiano è sedersi.,이탈리아어는 앉다입니다.
erba,풀/잔디,f,La erba è bellissima in questo periodo.,그 erba(은/는) 이 시기에 매우 아름답습니다.
tirare,꺼내다/당기다,-,Mi piace tirare quando ho tempo libero.,나는 자유 시간이 있을 때 꺼내다/당기다는 것을 좋아합니다.
osservare,관찰하다,-,Mi piace osservare quando ho tempo libero.,나는 자유 시간이 있을 때 관찰하다는 것을 좋아합니다.
rinfrescarsi,시원하게 하다,-,L'italiano è rinfrescarsi.,이탈리아어는 시원하게 하다입니다.
sentiero,오솔길,m,Il sentiero è molto importante per noi.,그 sentiero(은/는) 우리에게 매우 중요합니다.
diploma,졸업장/학위,f,La diploma è bellissima in questo periodo.,그 diploma(은/는) 이 시기에 매우 아름답습니다.
diplomarsi,졸업하다 (고교),-,L'italiano è diplomarsi.,이탈리아어는 졸업하다 (고교)입니다.
collegio,기숙학교,m,Il collegio è molto importante per noi.,그 collegio(은/는) 우리에게 매우 중요합니다.
laurea,학위 (대졸),f,La laurea è bellissima in questo periodo.,그 laurea(은/는) 이 시기에 매우 아름답습니다.
laurearsi,졸업하다 (대학),-,L'italiano è laurearsi.,이탈리아어는 졸업하다 (대학)입니다.
bocciato,낙제한,m,Il bocciato è molto importante per noi.,그 bocciato(은/는) 우리에게 매우 중요합니다.
obbligatorio,의무의,m,Il obbligatorio è molto importante per noi.,그 obbligatorio(은/는) 우리에게 매우 중요합니다.
scuola elementare,초등학교,-,Mi piace scuola elementare quando ho tempo libero.,나는 자유 시간이 있을 때 초등학교는 것을 좋아합니다.
scuola media,중학교,f,La scuola media è bellissima in questo periodo.,그 scuola media(은/는) 이 시기에 매우 아름답습니다.
scuola superiore,고등학교,m,Il scuola superiore è molto importante per noi.,그 scuola superiore(은/는) 우리에게 매우 중요합니다.
facoltativo,선택적인,m,Il facoltativo è molto importante per noi.,그 facoltativo(은/는) 우리에게 매우 중요합니다.
maturità,고교 졸업시험,-,L'italiano è maturità.,이탈리아어는 고교 졸업시험입니다.
promosso,진급한,m,Il promosso è molto importante per noi.,그 promosso(은/는) 우리에게 매우 중요합니다.
iscrizione,등록,f,La iscrizione è bellissima in questo periodo.,그 iscrizione(은/는) 이 시기에 매우 아름답습니다.
ripetere,반복하다,-,Mi piace ripetere quando ho tempo libero.,나는 자유 시간이 있을 때 반복하다는 것을 좋아합니다.
superare,통과하다,-,Mi piace superare quando ho tempo libero.,나는 자유 시간이 있을 때 통과하다는 것을 좋아합니다.
asilo,유치원,m,Il asilo è molto importante per noi.,그 asilo(은/는) 우리에게 매우 중요합니다.
compleanno,생일,m,Il compleanno è molto importante per noi.,그 compleanno(은/는) 우리에게 매우 중요합니다.
momento,순간,m,Il momento è molto importante per noi.,그 momento(은/는) 우리에게 매우 중요합니다.
successo,성공,m,Il successo è molto importante per noi.,그 successo(은/는) 우리에게 매우 중요합니다.
rimanere,남다,-,Mi piace rimanere quando ho tempo libero.,나는 자유 시간이 있을 때 남다는 것을 좋아합니다.
organizzare,기획하다,-,Mi piace organizzare quando ho tempo libero.,나는 자유 시간이 있을 때 기획하다는 것을 좋아합니다.
sorpreso,놀란,m,Il sorpreso è molto importante per noi.,그 sorpreso(은/는) 우리에게 매우 중요합니다.
torta,케이크,f,La torta è bellissima in questo periodo.,그 torta(은/는) 이 시기에 매우 아름답습니다.
contento,기쁜,m,Il contento è molto importante per noi.,그 contento(은/는) 우리에게 매우 중요합니다.
cuoca,여자 요리사,f,La cuoca è bellissima in questo periodo.,그 cuoca(은/는) 이 시기에 매우 아름답습니다.
scattare,(사진을) 찍다,-,Mi piace scattare quando ho tempo libero.,나는 자유 시간이 있을 때 (사진을) 찍다는 것을 좋아합니다.
incredibile,믿을 수 없는,-,L'italiano è incredibile.,이탈리아어는 믿을 수 없는입니다.
portare,가져오다/가지고 가다,-,Mi piace portare quando ho tempo libero.,나는 자유 시간이 있을 때 가져오다/가지고 가다는 것을 좋아합니다.
regalo,선물,m,Il regalo è molto importante per noi.,그 regalo(은/는) 우리에게 매우 중요합니다.
fotocamera,사진기,f,La fotocamera è bellissima in questo periodo.,그 fotocamera(은/는) 이 시기에 매우 아름답습니다.
davanti a,~앞에,f,La davanti a è bellissima in questo periodo.,그 davanti a(은/는) 이 시기에 매우 아름답습니다.
durante,~동안,-,L'italiano è durante.,이탈리아어는 ~동안입니다.
ultimo,최근의,m,Il ultimo è molto importante per noi.,그 ultimo(은/는) 우리에게 매우 중요합니다.
volo,비행,m,Il volo è molto importante per noi.,그 volo(은/는) 우리에게 매우 중요합니다.
offrire,제공하다,-,Mi piace offrire quando ho tempo libero.,나는 자유 시간이 있을 때 제공하다는 것을 좋아합니다.
avventura,모험,f,La avventura è bellissima in questo periodo.,그 avventura(은/는) 이 시기에 매우 아름답습니다.
prenotare,예약하다,-,Ho prenotato un tavolo per due.,두 사람용 테이블을 예약했습니다.
ospite,손님,-,L'italiano è ospite.,이탈리아어는 손님입니다.
pianificare,계획하다,-,Mi piace pianificare quando ho tempo libero.,나는 자유 시간이 있을 때 계획하다는 것을 좋아합니다.
anticipo,앞당김,m,Il anticipo è molto importante per noi.,그 anticipo(은/는) 우리에게 매우 중요합니다.
suono,소리,m,Il suono è molto importante per noi.,그 suono(은/는) 우리에게 매우 중요합니다.
intero,전체의,m,Il intero è molto importante per noi.,그 intero(은/는) 우리에게 매우 중요합니다.
vista,전망,f,La vista è bellissima in questo periodo.,그 vista(은/는) 이 시기에 매우 아름답습니다.
onda,파도,f,La onda è bellissima in questo periodo.,그 onda(은/는) 이 시기에 매우 아름답습니다.
cura,주의/돌봄,f,La cura è bellissima in questo periodo.,그 cura(은/는) 이 시기에 매우 아름답습니다.
ammirare,감탄하다,-,Mi piace ammirare quando ho tempo libero.,나는 자유 시간이 있을 때 감탄하다는 것을 좋아합니다.
apprezzare,감사하다/인정하다,-,Mi piace apprezzare quando ho tempo libero.,나는 자유 시간이 있을 때 감사하다/인정하다는 것을 좋아합니다.
agenzia,대리점,f,La agenzia è bellissima in questo periodo.,그 agenzia(은/는) 이 시기에 매우 아름답습니다.
accogliere,환대하다,-,Mi piace accogliere quando ho tempo libero.,나는 자유 시간이 있을 때 환대하다는 것을 좋아합니다.
memoria,기억,f,La memoria è bellissima in questo periodo.,그 memoria(은/는) 이 시기에 매우 아름답습니다.
gruppo,그룹,m,Il gruppo è molto importante per noi.,그 gruppo(은/는) 우리에게 매우 중요합니다.
alloggio,숙소,m,Il alloggio è molto importante per noi.,그 alloggio(은/는) 우리에게 매우 중요합니다.
creare,창출하다/만들다,-,Mi piace creare quando ho tempo libero.,나는 자유 시간이 있을 때 창출하다/만들다는 것을 좋아합니다.
guidare,이끌다/인도하다,-,Mi piace guidare quando ho tempo libero.,나는 자유 시간이 있을 때 이끌다/인도하다는 것을 좋아합니다.
guida,가이드,f,La guida è bellissima in questo periodo.,그 guida(은/는) 이 시기에 매우 아름답습니다.
esperto,전문적인,m,Il esperto è molto importante per noi.,그 esperto(은/는) 우리에게 매우 중요합니다.
posizione,위치,f,La posizione è bellissima in questo periodo.,그 posizione(은/는) 이 시기에 매우 아름답습니다.
pittoresco,그림 같은,m,Il pittoresco è molto importante per noi.,그 pittoresco(은/는) 우리에게 매우 중요합니다.
luogo,장소,m,Il luogo è molto importante per noi.,그 luogo(은/는) 우리에게 매우 중요합니다.
isola,섬,f,La isola è bellissima in questo periodo.,그 isola(은/는) 이 시기에 매우 아름답습니다.
affascinante,매력적인,-,L'italiano è affascinante.,이탈리아어는 매력적인입니다.
tropicale,열대의,-,L'italiano è tropicale.,이탈리아어는 열대의입니다.
percorrere,통과하다/가다,-,Mi piace percorrere quando ho tempo libero.,나는 자유 시간이 있을 때 통과하다/가다는 것을 좋아합니다.
quotidianamente,매일같이,-,L'italiano è quotidianamente.,이탈리아어는 매일같이입니다.
numeroso,수많은,m,Il numeroso è molto importante per noi.,그 numeroso(은/는) 우리에게 매우 중요합니다.
attività,활동,-,L'italiano è attività.,이탈리아어는 활동입니다.
personale,직원,-,L'italiano è personale.,이탈리아어는 직원입니다.
lavoro,일,m,Il lavoro è molto importante per noi.,그 lavoro(은/는) 우리에게 매우 중요합니다.
sindacato,노동조합,m,Il sindacato è molto importante per noi.,그 sindacato(은/는) 우리에게 매우 중요합니다.
promozione,승진,f,La promozione è bellissima in questo periodo.,그 promozione(은/는) 이 시기에 매우 아름답습니다.
stipendio,월급,m,Il stipendio è molto importante per noi.,그 stipendio(은/는) 우리에게 매우 중요합니다.
guadagnare,돈을 벌다,-,Mi piace guadagnare quando ho tempo libero.,나는 자유 시간이 있을 때 돈을 벌다는 것을 좋아합니다.
impiegato,남자 회사원,m,Il impiegato è molto importante per noi.,그 impiegato(은/는) 우리에게 매우 중요합니다.
sciopero,파업,m,Il sciopero è molto importante per noi.,그 sciopero(은/는) 우리에게 매우 중요합니다.
impiegata,여자 회사원,f,La impiegata è bellissima in questo periodo.,그 impiegata(은/는) 이 시기에 매우 아름답습니다.
impegno,일/업무/헌신,m,Il impegno è molto importante per noi.,그 impegno(은/는) 우리에게 매우 중요합니다.
colloquio di lavoro,면접,m,Il colloquio di lavoro è molto importante per noi.,그 colloquio di lavoro(은/는) 우리에게 매우 중요합니다.
impegnato,바쁜,m,Il impegnato è molto importante per noi.,그 impegnato(은/는) 우리에게 매우 중요합니다.
licenziare,해고하다,-,Mi piace licenziare quando ho tempo libero.,나는 자유 시간이 있을 때 해고하다는 것을 좋아합니다.
aumento,증가/인상,m,Il aumento è molto importante per noi.,그 aumento(은/는) 우리에게 매우 중요합니다.
essere licenziato,해고당하다,m,Il essere licenziato è molto importante per noi.,그 essere licenziato(은/는) 우리에게 매우 중요합니다.
carriera,경력/이력,f,La carriera è bellissima in questo periodo.,그 carriera(은/는) 이 시기에 매우 아름답습니다.
licenziarsi,사직하다,-,L'italiano è licenziarsi.,이탈리아어는 사직하다입니다.
festivo,휴일의,m,Il festivo è molto importante per noi.,그 festivo(은/는) 우리에게 매우 중요합니다.
ferie,휴가,-,L'italiano è ferie.,이탈리아어는 휴가입니다.
lavorativo,업무의/평일의,m,Il lavorativo è molto importante per noi.,그 lavorativo(은/는) 우리에게 매우 중요합니다.
feriale,평일의,-,L'italiano è feriale.,이탈리아어는 평일의입니다.
candidato,지원자,m,Il candidato è molto importante per noi.,그 candidato(은/는) 우리에게 매우 중요합니다.
riunione,미팅/회의,-,L'italiano è riunione.,이탈리아어는 미팅/회의입니다.
collega,동료,f,La collega è bellissima in questo periodo.,그 collega(은/는) 이 시기에 매우 아름답습니다.
maternità,출산 휴가,-,L'italiano è maternità.,이탈리아어는 출산 휴가입니다.
pensione,연금/은퇴,f,La pensione è bellissima in questo periodo.,그 pensione(은/는) 이 시기에 매우 아름답습니다.
